City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-08-31 17:50:31,22.0752,-159.319,76.1,85,75,4.61
1,Zhanaozen,KZ,2022-08-31 17:50:31,43.3,52.8,84.85,14,0,8.39
2,Talnakh,RU,2022-08-31 17:50:32,69.4865,88.3972,38.21,83,35,3.6
3,Hobart,AU,2022-08-31 17:50:33,-42.8794,147.3294,52.27,75,40,6.91
4,Tecoanapa,MX,2022-08-31 17:50:34,16.5167,-98.75,84.87,69,42,8.61
5,Albany,US,2022-08-31 17:50:06,42.6001,-73.9662,76.62,53,20,1.01
6,Kokopo,PG,2022-08-31 17:50:35,-4.352,152.2633,76.64,85,65,2.19
7,Kavaratti,IN,2022-08-31 17:50:35,10.5669,72.642,79.43,84,100,18.81
8,Vaini,TO,2022-08-31 17:50:36,-21.2,-175.2,68.16,83,20,6.91
9,Isangel,VU,2022-08-31 17:50:36,-19.55,169.2667,72.25,69,97,16.71
10,Bam,IR,2022-08-31 17:50:37,29.106,58.357,83.14,9,68,7.09
11,Hermanus,ZA,2022-08-31 17:50:38,-34.4187,19.2345,58.41,54,0,13.13
12,Jamestown,US,2022-08-31 17:50:38,42.097,-79.2353,74.17,40,75,17.27
13,Rikitea,PF,2022-08-31 17:50:39,-23.1203,-134.9692,72.68,79,1,3.51
14,Rio Gallegos,AR,2022-08-31 17:50:39,-51.6226,-69.2181,53.65,32,0,10.36
15,Takoradi,GH,2022-08-31 17:50:39,4.8845,-1.7554,75.54,87,65,10.96
16,Phuntsholing,BT,2022-08-31 17:50:40,26.8516,89.3884,77.13,95,100,1.99
17,Mataura,NZ,2022-08-31 17:50:41,-46.1927,168.8643,46.15,91,60,2.3
18,Russell,US,2022-08-31 17:50:41,32.3502,-85.1999,90.97,51,75,5.75
19,Nome,US,2022-08-31 17:46:04,64.5011,-165.4064,48.27,93,100,6.91
20,Hithadhoo,MV,2022-08-31 17:50:42,-0.6,73.0833,81.63,73,95,14.32
21,Hambantota,LK,2022-08-31 17:50:42,6.1241,81.1185,77.83,83,100,19.19
22,Alice Springs,AU,2022-08-31 17:50:43,-23.7,133.8833,56.75,82,100,0.0
23,Barrow,US,2022-08-31 17:50:43,71.2906,-156.7887,39.22,93,100,14.97
24,Makakilo City,US,2022-08-31 17:50:43,21.3469,-158.0858,77.61,76,0,5.75
25,Padang,ID,2022-08-31 17:46:34,-0.9492,100.3543,76.91,87,29,3.87
26,Port Alfred,ZA,2022-08-31 17:50:44,-33.5906,26.891,57.18,73,0,1.99
27,Bluff,NZ,2022-08-31 17:50:44,-46.6,168.3333,51.66,88,91,4.23
28,Hilo,US,2022-08-31 17:50:44,19.7297,-155.09,79.29,86,100,4.61
29,Carnarvon,AU,2022-08-31 17:50:44,-24.8667,113.6333,66.42,46,0,20.92
30,Charlottesville,US,2022-08-31 17:49:48,38.0293,-78.4767,86.13,45,75,1.99
31,Kodiak,US,2022-08-31 17:50:45,57.79,-152.4072,53.11,87,100,5.75
32,Tengzhou,CN,2022-08-31 17:50:45,35.0771,117.1518,67.32,86,84,3.09
33,Grand Forks,US,2022-08-31 17:50:46,47.9417,-97.4337,82.78,47,0,3.44
34,Viedma,AR,2022-08-31 17:50:46,-40.8135,-62.9967,73.24,18,79,9.35
35,Tucson,US,2022-08-31 17:50:21,32.2217,-110.9265,95.23,34,0,16.11
36,Skibbereen,IE,2022-08-31 17:50:46,51.55,-9.2667,67.1,71,100,12.46
37,Longyearbyen,SJ,2022-08-31 17:50:46,78.2186,15.6401,39.51,73,29,2.75
38,Xixiang,CN,2022-08-31 17:50:47,35.1628,112.865,72.27,73,74,3.89
39,Georgetown,MY,2022-08-31 17:50:16,5.4112,100.3354,83.95,89,40,3.44
40,Nhulunbuy,AU,2022-08-31 17:50:47,-12.2333,136.7667,75.81,94,33,8.05
41,Saint George,US,2022-08-31 17:47:07,37.1041,-113.5841,95.79,20,0,4.61
42,Davila,PH,2022-08-31 17:50:48,18.4726,120.5763,81.01,83,81,8.16
43,Tasiilaq,GL,2022-08-31 17:51:48,65.6145,-37.6368,37.87,99,100,2.46
44,Lufilufi,WS,2022-08-31 17:51:48,-13.8745,-171.5986,79.66,78,91,10.45
45,Souillac,MU,2022-08-31 17:51:49,-20.5167,57.5167,66.58,82,20,5.75
46,Inhambane,MZ,2022-08-31 17:51:49,-23.865,35.3833,64.27,71,52,12.1
47,Castro,BR,2022-08-31 17:51:49,-24.7911,-50.0119,65.79,54,8,7.7
48,Atuona,PF,2022-08-31 17:51:49,-9.8,-139.0333,77.32,67,14,24.0
49,Los Llanos De Aridane,ES,2022-08-31 17:51:50,28.6585,-17.9182,76.12,79,100,18.01
50,Airai,TL,2022-08-31 17:51:50,-8.9266,125.4092,57.15,89,29,2.82
